15:09:27 | INFO    | train_pibe         | experiment:
system            : automatica_n4(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
15:09:28 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.507e-02 |  7.313e-02 |  1.097e-02 |    5.48 |    77.76 |
  2 |  7.249e-02 |  7.508e-02 |  1.126e-02 |    5.63 |    79.83 |
  3 |  3.235e-02 |  1.526e-02 |  1.832e-03 |    0.92 |    12.98 |  <- below the noise floor
  4 |  1.297e-02 |  1.230e-02 |  1.476e-03 |    0.74 |    10.47 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
15:09:28 | INFO    | pibe.training.trainer | cell 2/5: 3000 local iterations then 3000 fine-tuning iterations
15:09:29 | INFO    | pibe.training.trainer |   cell 2 | i=    0 | local  | obj=1.0727e+01 | data=7.1087e+00 | phys=3.6179e+00 | |g|=1.05e+02
15:09:37 | INFO    | pibe.training.trainer |   cell 2 | i=  250 | local  | obj=6.6779e-03 | data=5.3319e-03 | phys=1.3459e-03 | |g|=4.69e+00
15:09:45 | INFO    | pibe.training.trainer |   cell 2 | i=  500 | local  | obj=5.1808e-03 | data=4.3806e-03 | phys=8.0027e-04 | |g|=4.14e+00
15:09:53 | INFO    | pibe.training.trainer |   cell 2 | i=  750 | local  | obj=4.4841e-03 | data=3.7265e-03 | phys=7.5763e-04 | |g|=3.93e+00
15:10:01 | INFO    | pibe.training.trainer |   cell 2 | i= 1000 | local  | obj=8.6848e-03 | data=7.8044e-03 | phys=8.8042e-04 | |g|=6.12e+00
15:10:08 | INFO    | pibe.training.trainer |   cell 2 | i= 1250 | local  | obj=1.0203e-02 | data=9.5124e-03 | phys=6.9025e-04 | |g|=7.07e+00
15:10:16 | INFO    | pibe.training.trainer |   cell 2 | i= 1500 | local  | obj=5.1467e-03 | data=4.6936e-03 | phys=4.5308e-04 | |g|=4.41e+00
15:10:23 | INFO    | pibe.training.trainer |   cell 2 | i= 1750 | local  | obj=6.2711e-03 | data=5.6876e-03 | phys=5.8357e-04 | |g|=5.02e+00
15:10:30 | INFO    | pibe.training.trainer |   cell 2 | i= 2000 | local  | obj=3.9086e-03 | data=3.5869e-03 | phys=3.2177e-04 | |g|=3.83e+00
15:10:38 | INFO    | pibe.training.trainer |   cell 2 | i= 2250 | local  | obj=2.8444e-03 | data=2.6430e-03 | phys=2.0139e-04 | |g|=3.33e+00
15:10:45 | INFO    | pibe.training.trainer |   cell 2 | i= 2500 | local  | obj=2.9800e-03 | data=2.7326e-03 | phys=2.4738e-04 | |g|=3.26e+00
15:10:52 | INFO    | pibe.training.trainer |   cell 2 | i= 2750 | local  | obj=1.6389e-03 | data=1.4438e-03 | phys=1.9509e-04 | |g|=2.22e+00
