13:15:36 | INFO    | train_pibe         | experiment:
system            : automatica_n4v2(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
13:15:37 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.432e-02 |  7.331e-02 |  1.100e-02 |    5.50 |    77.95 |
  2 |  7.288e-02 |  7.551e-02 |  1.133e-02 |    5.66 |    80.29 |
  3 |  3.162e-02 |  1.465e-02 |  1.758e-03 |    0.88 |    12.47 |  <- below the noise floor
  4 |  1.300e-02 |  1.233e-02 |  1.479e-03 |    0.74 |    10.49 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
13:15:37 | INFO    | pibe.training.trainer | cell 2/5: 3000 local iterations then 3000 fine-tuning iterations
13:15:38 | INFO    | pibe.training.trainer |   cell 2 | i=    0 | local  | obj=1.5475e+01 | data=1.1188e+01 | phys=4.2872e+00 | |g|=1.67e+02
13:15:42 | INFO    | pibe.training.trainer |   cell 2 | i=  250 | local  | obj=1.0178e-02 | data=6.6713e-03 | phys=3.5069e-03 | |g|=3.11e+00
13:15:46 | INFO    | pibe.training.trainer |   cell 2 | i=  500 | local  | obj=5.0498e-03 | data=4.1459e-03 | phys=9.0386e-04 | |g|=2.63e+00
13:15:51 | INFO    | pibe.training.trainer |   cell 2 | i=  750 | local  | obj=3.7761e-03 | data=2.7114e-03 | phys=1.0648e-03 | |g|=2.20e+00
13:15:55 | INFO    | pibe.training.trainer |   cell 2 | i= 1000 | local  | obj=3.4466e-03 | data=2.6662e-03 | phys=7.8040e-04 | |g|=2.08e+00
13:16:00 | INFO    | pibe.training.trainer |   cell 2 | i= 1250 | local  | obj=3.5027e-03 | data=3.1052e-03 | phys=3.9746e-04 | |g|=2.27e+00
13:16:04 | INFO    | pibe.training.trainer |   cell 2 | i= 1500 | local  | obj=1.6991e-03 | data=1.3373e-03 | phys=3.6178e-04 | |g|=1.20e+00
13:16:08 | INFO    | pibe.training.trainer |   cell 2 | i= 1750 | local  | obj=6.2048e-04 | data=3.8059e-04 | phys=2.3989e-04 | |g|=7.05e-02
13:16:13 | INFO    | pibe.training.trainer |   cell 2 | i= 2000 | local  | obj=4.6862e-04 | data=2.7333e-04 | phys=1.9528e-04 | |g|=1.72e-01
13:16:17 | INFO    | pibe.training.trainer |   cell 2 | i= 2250 | local  | obj=7.7040e-04 | data=4.9295e-04 | phys=2.7745e-04 | |g|=3.37e-01
13:16:22 | INFO    | pibe.training.trainer |   cell 2 | i= 2500 | local  | obj=8.7815e-04 | data=4.2832e-04 | phys=4.4983e-04 | |g|=4.71e-01
13:16:26 | INFO    | pibe.training.trainer |   cell 2 | i= 2750 | local  | obj=3.3061e-04 | data=1.7790e-04 | phys=1.5271e-04 | |g|=1.27e-01
