07:42:23 | INFO    | train_pibe         | experiment:
system            : automatica_n3v2(n=3) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397]
disturbance       : independent a per trajectory
basis             : FourierBasis(q=3, H=2, omega=0.628319, horizon=[0, 20], periods=2)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=2048, N=201, n=3, horizon=[0, 20])
  train / val     : 1638 / 410
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..4, 2216458 parameters
07:42:25 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  3.040e-01 |  3.066e-01 |  5.519e-02 |   27.60 |   391.23 |
  2 |  2.835e-01 |  3.036e-01 |  5.465e-02 |   27.33 |   387.40 |
  3 |  1.472e-01 |  1.395e-01 |  1.674e-02 |    8.37 |   118.69 |

every basis function is observable above the noise floor.
17:11:00 | INFO    | pibe.training.trainer |   cell 4 | i=10000 | global | obj=4.2989e+00 | data=4.0574e-03 | phys=6.3992e-01 | |g|=1.64e+00
18:01:30 | INFO    | pibe.training.trainer |   cell 4 | i=12000 | global | obj=4.2712e+00 | data=3.6428e-03 | phys=7.4421e-01 | |g|=3.25e+00
18:51:48 | INFO    | pibe.training.trainer |   cell 4 | i=14000 | global | obj=2.6682e+00 | data=2.9021e-02 | phys=4.8889e-01 | |g|=5.69e+00
19:42:28 | INFO    | pibe.training.trainer |   cell 4 | i=16000 | global | obj=2.5827e+00 | data=4.1196e-02 | phys=3.6252e-01 | |g|=1.13e-01
20:32:53 | INFO    | pibe.training.trainer |   cell 4 | i=18000 | global | obj=2.5850e+00 | data=4.1227e-02 | phys=3.6328e-01 | |g|=4.09e-01
21:23:37 | INFO    | pibe.training.trainer |   cell 4 | i=20000 | global | obj=9.3993e-01 | data=4.0980e-02 | phys=4.5384e-01 | |g|=2.59e+00
22:13:58 | INFO    | pibe.training.trainer |   cell 4 | i=22000 | global | obj=9.1884e-01 | data=4.1577e-02 | phys=4.0294e-01 | |g|=1.70e+00
23:04:27 | INFO    | pibe.training.trainer |   cell 4 | i=24000 | global | obj=9.3568e-01 | data=4.0292e-02 | phys=4.6128e-01 | |g|=3.53e+00
23:54:55 | INFO    | pibe.training.trainer |   cell 4 | i=26000 | global | obj=9.3442e-01 | data=4.1915e-02 | phys=3.9814e-01 | |g|=3.05e+00
00:45:30 | INFO    | pibe.training.trainer |   cell 4 | i=28000 | global | obj=9.2883e-01 | data=4.1063e-02 | phys=4.1988e-01 | |g|=4.76e-01
01:32:18 | INFO    | pibe.training.trainer |   cell 4 | i=30000 | global | obj=9.3500e-01 | data=4.1153e-02 | phys=4.4313e-01 | |g|=1.69e+00
02:19:00 | INFO    | pibe.training.trainer |   cell 4 | i=32000 | global | obj=9.2067e-01 | data=4.0641e-02 | phys=4.3040e-01 | |g|=1.22e+00
03:07:10 | INFO    | pibe.training.trainer |   cell 4 | i=34000 | global | obj=9.3314e-01 | data=4.0593e-02 | phys=4.4075e-01 | |g|=1.47e+00
03:52:23 | INFO    | pibe.training.trainer |   cell 4 | i=36000 | global | obj=9.2843e-01 | data=4.0348e-02 | phys=4.3707e-01 | |g|=1.35e+00
04:36:59 | INFO    | pibe.training.trainer |   cell 4 | i=38000 | global | obj=9.3423e-01 | data=4.2217e-02 | phys=3.9887e-01 | |g|=3.06e+00
05:21:25 | INFO    | pibe.training.trainer |   cell 4 | i=40000 | global | obj=9.2892e-01 | data=4.1988e-02 | phys=4.0265e-01 | |g|=2.33e+00
06:06:05 | INFO    | pibe.training.trainer |   cell 4 | i=42000 | global | obj=9.4046e-01 | data=5.0569e-02 | phys=4.1705e-01 | |g|=1.72e+00
06:50:46 | INFO    | pibe.training.trainer |   cell 4 | i=44000 | global | obj=9.3528e-01 | data=4.1101e-02 | phys=4.2897e-01 | |g|=1.26e-01
07:35:17 | INFO    | pibe.training.trainer |   cell 4 | i=46000 | global | obj=9.2828e-01 | data=4.0971e-02 | phys=4.2190e-01 | |g|=2.19e-01
