12:49:24 | INFO    | train_pibe         | experiment:
system            : automatica_n4v3(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
12:49:25 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.432e-02 |  7.331e-02 |  1.100e-02 |    5.50 |    77.95 |
  2 |  7.288e-02 |  7.551e-02 |  1.133e-02 |    5.66 |    80.29 |
  3 |  3.162e-02 |  1.465e-02 |  1.758e-03 |    0.88 |    12.47 |  <- below the noise floor
  4 |  1.300e-02 |  1.233e-02 |  1.479e-03 |    0.74 |    10.49 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
12:51:31 | INFO    | pibe.training.trainer |   cell 3 | i=  500 | local  | obj=6.9143e-04 | data=3.7812e-04 | phys=3.1331e-04 | |g|=2.87e-01
12:51:37 | INFO    | pibe.training.trainer |   cell 3 | i=  750 | local  | obj=1.6913e-03 | data=1.1659e-03 | phys=5.2535e-04 | |g|=8.24e-01
12:51:44 | INFO    | pibe.training.trainer |   cell 3 | i= 1000 | local  | obj=3.5638e-04 | data=2.1016e-04 | phys=1.4621e-04 | |g|=2.07e-01
12:51:50 | INFO    | pibe.training.trainer |   cell 3 | i= 1250 | local  | obj=1.6236e-04 | data=9.4471e-05 | phys=6.7887e-05 | |g|=3.41e-02
12:51:56 | INFO    | pibe.training.trainer |   cell 3 | i= 1500 | local  | obj=1.9756e-04 | data=1.3570e-04 | phys=6.1866e-05 | |g|=1.87e-01
12:52:02 | INFO    | pibe.training.trainer |   cell 3 | i= 1750 | local  | obj=1.3140e-04 | data=8.2923e-05 | phys=4.8481e-05 | |g|=2.29e-02
12:52:08 | INFO    | pibe.training.trainer |   cell 3 | i= 2000 | local  | obj=1.2888e-04 | data=7.0177e-05 | phys=5.8702e-05 | |g|=2.12e-02
12:52:14 | INFO    | pibe.training.trainer |   cell 3 | i= 2250 | local  | obj=1.2341e-04 | data=7.5375e-05 | phys=4.8031e-05 | |g|=2.67e-02
12:52:21 | INFO    | pibe.training.trainer |   cell 3 | i= 2500 | local  | obj=2.2542e-04 | data=1.4637e-04 | phys=7.9047e-05 | |g|=2.77e-01
12:52:27 | INFO    | pibe.training.trainer |   cell 3 | i= 2750 | local  | obj=6.0481e-05 | data=3.7111e-05 | phys=2.3370e-05 | |g|=6.28e-02
