11:06:40 | INFO    | train_pibe         | experiment:
system            : automatica_n3v2(n=3) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397]
disturbance       : one a shared by all trajectories
basis             : FourierBasis(q=3, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : BiasedNoise(TruncatedGaussianNoise(sigma=0.05, bound=0.15000000000000002), bias=+0.15)
data              : TrajectoryData(P=64, N=201, n=3, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..4, 284909 parameters
estimator         : EPIBE (Algorithm 2), N_EBM=1000, beta=1
residual supports (Assumption 3):
 cell |      rho_k |     B_E |        L_E |  nodes |    spacing |  |1-int p|
----------------------------------------------------------------------------
    2 |        1.2 |      12 |      14.52 |   1024 |    0.00234 |   0.00e+00
11:06:41 | INFO    | train_pibe         | disturbance observability  (sigma = 0.05, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  1.472e-01 |  1.395e-01 |  2.511e-02 |    0.50 |     7.12 |  <- below the noise floor
  2 |  1.369e-01 |  1.401e-01 |  2.522e-02 |    0.50 |     7.15 |  <- below the noise floor
  3 |  4.558e-02 |  3.413e-02 |  4.096e-03 |    0.08 |     1.16 |  <- below the noise floor

basis function 3 leaves a trace 0.08x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
11:13:00 | INFO    | pibe.training.trainer |   cell 3 | i= 5500 | global | obj=-1.1587e+00 | data=6.7176e-05 | phys=1.3992e-05 | |g|=1.48e+01
11:13:24 | INFO    | pibe.training.trainer |   cell 3 | i= 5999 | global | obj=-1.1575e+00 | data=5.4653e-05 | phys=1.2435e-05 | |g|=1.23e+00
11:13:24 | INFO    | pibe.training.trainer |   cell 3 done in 250.5s | val local=5.0968e-05 (data=4.1590e-05, phys=9.3775e-06)
11:13:24 | INFO    | pibe.training.trainer | cell 4/4: 3000 local iterations then 3000 fine-tuning iterations
11:13:24 | INFO    | pibe.training.trainer |   cell 4 | i=    0 | warmup | obj=2.0248e+00 | data=1.2612e-01 | phys=1.8987e+00 | |g|=1.60e+01
11:13:46 | INFO    | pibe.training.trainer |   cell 4 | i=  500 | warmup | obj=2.1120e-01 | data=1.9319e-01 | phys=1.8009e-02 | |g|=1.39e+00
11:14:09 | INFO    | pibe.training.trainer |   cell 4 | i= 1000 | fit    | obj=2.0841e-01 | data=1.5457e-01 | phys=5.3843e-02 | |g|=2.82e+00
11:14:31 | INFO    | pibe.training.trainer |   cell 4 | i= 1500 | fit    | obj=2.0322e-01 | data=1.7921e-01 | phys=2.4016e-02 | |g|=1.04e-01
11:14:54 | INFO    | pibe.training.trainer |   cell 4 | i= 2000 | local  | obj=2.0599e-01 | data=1.9071e-01 | phys=1.5281e-02 | |g|=1.21e+00
11:15:16 | INFO    | pibe.training.trainer |   cell 4 | i= 2500 | local  | obj=2.0306e-01 | data=1.7714e-01 | phys=2.5924e-02 | |g|=1.79e-01
11:15:39 | INFO    | pibe.training.trainer |   cell 4 | i= 3000 | global | obj=-7.7832e-01 | data=1.7755e-01 | phys=2.2069e-02 | |g|=5.21e+00
11:16:15 | INFO    | pibe.training.trainer |   cell 4 | i= 3500 | global | obj=-9.7369e-01 | data=1.4863e-04 | phys=5.2719e-04 | |g|=2.18e+01
11:16:51 | INFO    | pibe.training.trainer |   cell 4 | i= 4000 | global | obj=-9.7917e-01 | data=1.2395e-04 | phys=2.3443e-04 | |g|=1.79e+01
11:17:26 | INFO    | pibe.training.trainer |   cell 4 | i= 4500 | global | obj=-9.5137e-01 | data=1.3125e-03 | phys=1.0097e-02 | |g|=8.08e+00
11:18:02 | INFO    | pibe.training.trainer |   cell 4 | i= 5000 | global | obj=-9.7032e-01 | data=7.3758e-05 | phys=2.8543e-04 | |g|=2.72e+01
11:18:38 | INFO    | pibe.training.trainer |   cell 4 | i= 5500 | global | obj=-9.8365e-01 | data=7.4213e-05 | phys=1.3834e-04 | |g|=1.61e+01
11:19:15 | INFO    | pibe.training.trainer |   cell 4 | i= 6000 | global | obj=-9.8233e-01 | data=7.7302e-05 | phys=1.5463e-04 | |g|=1.64e+01
11:19:50 | INFO    | pibe.training.trainer |   cell 4 | i= 6500 | global | obj=-9.4932e-01 | data=1.3485e-03 | phys=1.7438e-03 | |g|=3.39e+00
11:20:26 | INFO    | pibe.training.trainer |   cell 4 | i= 7000 | global | obj=-9.2987e-01 | data=8.2771e-05 | phys=4.3976e-04 | |g|=5.23e+01
11:24:42 | INFO    | pibe.training.trainer |   cell 4 | i= 7500 | global | obj=-9.7765e-01 | data=5.4158e-05 | phys=1.0777e-04 | |g|=1.48e+01
11:25:21 | INFO    | pibe.training.trainer |   cell 4 | i= 8000 | global | obj=-9.7277e-01 | data=4.6460e-05 | phys=2.3389e-04 | |g|=3.10e+01
11:26:00 | INFO    | pibe.training.trainer |   cell 4 | i= 8500 | global | obj=-9.7015e-01 | data=5.3032e-05 | phys=1.8183e-04 | |g|=2.29e+01
11:26:36 | INFO    | pibe.training.trainer |   cell 4 | i= 9000 | global | obj=-9.4839e-01 | data=1.0866e-04 | phys=1.1420e-03 | |g|=1.26e+01
11:27:12 | INFO    | pibe.training.trainer |   cell 4 | i= 9500 | global | obj=-9.4967e-01 | data=2.5748e-05 | phys=1.4895e-04 | |g|=4.03e+01
11:27:50 | INFO    | pibe.training.trainer |   cell 4 | i=10000 | global | obj=-9.7371e-01 | data=1.9247e-05 | phys=1.1587e-04 | |g|=2.51e+01
11:28:26 | INFO    | pibe.training.trainer |   cell 4 | i=10500 | global | obj=-9.6289e-01 | data=3.2634e-05 | phys=1.6502e-04 | |g|=2.95e+01
11:29:02 | INFO    | pibe.training.trainer |   cell 4 | i=11000 | global | obj=-9.8273e-01 | data=2.4120e-05 | phys=9.9216e-05 | |g|=1.20e+01
11:29:39 | INFO    | pibe.training.trainer |   cell 4 | i=11500 | global | obj=-9.7731e-01 | data=2.1694e-05 | phys=9.0720e-05 | |g|=1.34e+01
11:30:15 | INFO    | pibe.training.trainer |   cell 4 | i=12000 | global | obj=-9.8393e-01 | data=2.0455e-05 | phys=9.4352e-05 | |g|=7.13e+00
11:30:51 | INFO    | pibe.training.trainer |   cell 4 | i=12500 | global | obj=-9.9000e-01 | data=2.9382e-05 | phys=6.6758e-05 | |g|=8.94e+00
11:31:29 | INFO    | pibe.training.trainer |   cell 4 | i=13000 | global | obj=-9.8557e-01 | data=2.7137e-05 | phys=9.8227e-05 | |g|=9.46e-01
11:32:05 | INFO    | pibe.training.trainer |   cell 4 | i=13500 | global | obj=-9.8679e-01 | data=2.7515e-05 | phys=1.0450e-04 | |g|=8.14e+00
11:32:41 | INFO    | pibe.training.trainer |   cell 4 | i=14000 | global | obj=-9.9687e-01 | data=2.6232e-05 | phys=9.0678e-05 | |g|=2.15e+00
11:33:18 | INFO    | pibe.training.trainer |   cell 4 | i=14500 | global | obj=-9.8799e-01 | data=1.8147e-05 | phys=8.3863e-05 | |g|=4.04e-01
11:33:56 | INFO    | pibe.training.trainer |   cell 4 | i=15000 | global | obj=-9.8171e-01 | data=1.3881e-05 | phys=7.6300e-05 | |g|=1.66e+00
