11:59:56 | INFO    | train_pibe         | experiment:
system            : automatica_n4v2(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
11:59:57 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.432e-02 |  7.331e-02 |  1.100e-02 |    5.50 |    77.95 |
  2 |  7.288e-02 |  7.551e-02 |  1.133e-02 |    5.66 |    80.29 |
  3 |  3.162e-02 |  1.465e-02 |  1.758e-03 |    0.88 |    12.47 |  <- below the noise floor
  4 |  1.300e-02 |  1.233e-02 |  1.479e-03 |    0.74 |    10.49 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
11:59:57 | INFO    | pibe.training.trainer | cell 2/5: 3000 local iterations then 3000 fine-tuning iterations
11:59:57 | INFO    | pibe.training.trainer |   cell 2 | i=    0 | local  | obj=2.6752e+01 | data=2.5990e+01 | phys=7.6150e-01 | |g|=1.88e+02
12:00:00 | INFO    | pibe.training.trainer |   cell 2 | i=  250 | local  | obj=1.2503e-02 | data=1.0051e-02 | phys=2.4522e-03 | |g|=1.97e+00
12:00:03 | INFO    | pibe.training.trainer |   cell 2 | i=  500 | local  | obj=6.6083e-03 | data=6.0454e-03 | phys=5.6287e-04 | |g|=4.41e+00
12:00:07 | INFO    | pibe.training.trainer |   cell 2 | i=  750 | local  | obj=6.1119e-03 | data=5.2245e-03 | phys=8.8742e-04 | |g|=3.85e+00
12:00:10 | INFO    | pibe.training.trainer |   cell 2 | i= 1000 | local  | obj=4.4441e-03 | data=3.6134e-03 | phys=8.3076e-04 | |g|=3.34e+00
12:00:13 | INFO    | pibe.training.trainer |   cell 2 | i= 1250 | local  | obj=2.9490e-03 | data=2.5784e-03 | phys=3.7053e-04 | |g|=2.60e+00
12:00:16 | INFO    | pibe.training.trainer |   cell 2 | i= 1500 | local  | obj=2.1875e-03 | data=1.9110e-03 | phys=2.7651e-04 | |g|=2.19e+00
12:00:20 | INFO    | pibe.training.trainer |   cell 2 | i= 1750 | local  | obj=1.6337e-03 | data=1.3622e-03 | phys=2.7153e-04 | |g|=1.91e+00
12:00:23 | INFO    | pibe.training.trainer |   cell 2 | i= 2000 | local  | obj=1.4007e-03 | data=1.2619e-03 | phys=1.3884e-04 | |g|=1.70e+00
12:00:26 | INFO    | pibe.training.trainer |   cell 2 | i= 2250 | local  | obj=3.1288e-04 | data=1.9608e-04 | phys=1.1680e-04 | |g|=1.64e-01
12:00:29 | INFO    | pibe.training.trainer |   cell 2 | i= 2500 | local  | obj=1.8575e-04 | data=1.2437e-04 | phys=6.1385e-05 | |g|=3.34e-01
12:00:33 | INFO    | pibe.training.trainer |   cell 2 | i= 2750 | local  | obj=3.9397e-03 | data=3.4604e-03 | phys=4.7933e-04 | |g|=2.70e+00
12:00:36 | INFO    | pibe.training.trainer |   cell 2 | i= 3000 | global | obj=5.2863e-03 | data=4.7411e-03 | phys=5.4521e-04 | |g|=3.70e+00
12:00:39 | INFO    | pibe.training.trainer |   cell 2 | i= 3250 | global | obj=1.3342e-04 | data=1.0302e-04 | phys=3.0401e-05 | |g|=2.96e-01
12:00:42 | INFO    | pibe.training.trainer |   cell 2 | i= 3500 | global | obj=1.5032e-04 | data=1.1872e-04 | phys=3.1602e-05 | |g|=2.49e-01
12:00:45 | INFO    | pibe.training.trainer |   cell 2 | i= 3750 | global | obj=7.8426e-05 | data=4.7594e-05 | phys=3.0832e-05 | |g|=6.58e-02
12:00:49 | INFO    | pibe.training.trainer |   cell 2 | i= 4000 | global | obj=1.3226e-04 | data=1.0918e-04 | phys=2.3074e-05 | |g|=3.87e-01
12:00:52 | INFO    | pibe.training.trainer |   cell 2 | i= 4250 | global | obj=8.7515e-05 | data=6.9063e-05 | phys=1.8452e-05 | |g|=1.52e-01
12:00:55 | INFO    | pibe.training.trainer |   cell 2 | i= 4500 | global | obj=6.1227e-05 | data=4.5197e-05 | phys=1.6029e-05 | |g|=2.30e-02
12:00:58 | INFO    | pibe.training.trainer |   cell 2 | i= 4750 | global | obj=5.6257e-05 | data=4.4474e-05 | phys=1.1783e-05 | |g|=6.35e-02
